,word,POS,EN_translation
21464,wollig,ADJ,woolly
21465,aansterken,WW,to strengthen
21466,zip,N,zip
21467,opdoemen,WW,looming
21468,verwelken,WW,withering
21469,luiaard,N,sloth
21470,zwieren,WW,spin
21471,gevangenneming,N,capture
21472,wolfman,N,wolfman
21473,keukenvloer,N,kitchen floor
21474,terechtstelling,N,execution
21475,getik,N,tapping
21476,snars,N,snars
21477,gearresteerde,N,arrested
21478,perskaart,N,press card
21479,vervreemden,WW,alienate
21480,basketballer,N,basketball player
21481,bikken,WW,eat
21482,gegrom,N,growl
21483,eigeel,ADJ,egg yolk
21484,raiders,N,raiders
21485,competent,ADJ,competent
21486,wachtzaal,N,waiting room
21487,binnentuin,N,courtyard
21488,lichterlaaie,N,ablaze
21489,voorouder,N,ancestor
21490,draaitafel,N,Turntable
21491,retourneren,WW,return
21492,teamwerk,N,teamwork
21493,eerbiedig,ADJ,reverent
21494,glibberen,WW,slither
21495,bovenkomen,WW,coming upstairs
21496,honken,N,bases
21497,smetteloos,ADJ,immaculate
21498,lulhannes,N,asshole
21499,levensgenieter,N,epicurean
21500,visagist,N,make-up artist
21501,heldendom,N,heroism
21502,borreltijd,N,drink time
21503,afscheidscadeau,N,parting gift
21504,opschorten,WW,suspend
21505,quorum,N,quorum
21506,ecstasy,N,ecstasy
21507,drugsbaron,N,drug lord
21508,bassen,WW,basses
21509,enkelvoud,N,singular
21510,grafkelder,N,burial vault
21511,kopstuk,N,head piece
21512,cyberspace,N,cyberspace
21513,voldongen,ADJ,accomplished
21514,lichtshow,N,light show
21515,voetbalploeg,N,football team
21516,koffieautomaat,N,coffee machine
21517,hostie,N,host
21518,omkeerbaar,ADJ,reversible
21519,bestrijken,WW,cover
21520,minnen,WW,minuses
21521,herenigen,WW,reunite
21522,hoogteverschil,N,height difference
21523,achteringang,N,back entrance
21524,concurrentiestrijd,N,competition
21525,toekomstperspectief,N,future perspective
21526,benzinetank,N,gas tank
21527,lis,N,lis
21528,verdoemde,ADJ,damned
21529,gesynchroniseerd,WW,synchronized
21530,streling,N,caress
21531,ballad,N,ballad
21532,ceremonieel,N,ceremonial
21533,wereldkaart,N,world map
21534,wederkerigheid,N,reciprocity
21535,wicket,N,wicket
21536,klikspaan,N,click trowel
21537,schoorsteenmantel,N,mantelpiece
21538,summum,N,summum
21539,oploskoffie,N,instant coffee
21540,gelukzalig,ADJ,blissful
21541,trendsetter,N,trendsetter
21542,mirre,N,myrrh
21543,lichtinval,N,incidence of light
21544,zondagnacht,N,Sunday night
21545,destabiliseren,WW,destabilize
21546,pleegmoeder,N,foster mother
21547,uitgaand,N,outgoing
21548,ongewassen,WW,unwashed
21549,schietstoel,N,ejection seat
21550,doom,N,doom
21551,autochtoon,N,native
21552,blokkering,N,blocking
21553,osteopaat,N,osteopath
21554,drievoud,N,threefold
21555,dribbelen,WW,dribble
21556,zolderkamer,N,attic room
21557,autobom,N,car bomb
21558,zigzag,N,zigzag
21559,complicatie,N,complication
21560,ziener,N,seer
21561,kwek,N,kwek
21562,aardappelsalade,N,Potato salad
21563,welbeschouwd,WW,all things considered
21564,narcis,N,daffodil
21565,roller,N,roller
21566,dienstauto,N,official car
21567,segregatie,N,segregation
21568,erwt,N,pea
21569,onbegaanbaar,ADJ,impassable
21570,prijsklasse,N,price range
21571,bospad,N,forest path
21572,amazones,N,amazons
21573,sloeber,N,sloeber
21574,onmachtig,ADJ,impotent
21575,verwissel,N,swap
21576,deugdelijk,ADJ,proper
21577,wreker,N,avenger
21578,reppen,WW,mention
21579,rottweiler,N,rottweiler
21580,meetkunde,N,geometry
21581,cashflow,N,cash flow
21582,wraken,WW,revenge
21583,pepermuntje,N,peppermint
21584,goreng,ADJ,goreng
21585,sneep,N,snape
21586,armoedzaaier,N,pauper
21587,bushokje,N,bus shelter
21588,grensrechter,N,linesman
21589,denim,ADJ,denim
21590,recordbedrag,N,record amount
21591,verwaarloosbaar,ADJ,negligible
21592,mikmak,N,mikmak
21593,heit,N,heit
21594,courage,N,courage
21595,opkrassen,WW,scratch up
21596,elektromagnetisch,ADJ,electromagnetic
21597,stokoud,ADJ,very old
21598,schaaf,N,scrape
21599,pee,N,pee
21600,speelkwartier,N,playtime
21601,sufferds,N,fools
21602,inkomstenbron,N,income source
21603,verificatie,N,verification
21604,grom,N,growl
21605,baak,N,staff
21606,thermosfles,N,thermos
21607,reserveband,N,spare tire
21608,seksisme,N,sexism
21609,eenwording,N,unification
21610,langsrijden,WW,drive by
21611,crisiscentrum,N,crisis center
21612,bijgenaamd,ADJ,nicknamed
21613,moesson,N,monsoon
21614,frivool,ADJ,frivolous
21615,afwenden,WW,turn away
21616,verschieten,WW,fade
21617,inzamelingsactie,N,fundraising campaign
21618,vastgevroren,WW,frozen
21619,stiel,N,craft
21620,fraudeur,N,fraudster
21621,evolutietheorie,N,evolution theory
21622,moleculair,ADJ,molecular
21623,bodempje,N,bottom
21624,borstbeen,N,sternum
21625,ecg,N,ecg
21626,bovenlijf,N,upper body
21627,winterdag,N,winter day
21628,voedselproductie,N,food production
21629,parkeervergunning,N,parking permit
21630,gehard,N,hardened
21631,ontharen,WW,hair removal
21632,degens,N,swords
21633,interlokaal,N,interurban
21634,capitulatie,N,capitulation
21635,limousines,N,limousines
21636,opstoken,WW,stoke
21637,hipper,ADJ,hipper
21638,verpatsen,WW,sell out
21639,lesprogramma,N,curriculum
21640,meeliften,WW,piggybacking
21641,teamspeler,N,team player
21642,onthoofding,N,decapitation
21643,leenden,WW,borrowed
21644,welwillendheid,N,benevolence
21645,windrichting,N,Wind direction
21646,gelukzaligheid,N,bliss
21647,röntgen,N,x-ray
21648,berghut,N,mountain hut
21649,aanprijzen,WW,commend
21650,koffiedik,N,coffee grounds
21651,kribbig,ADJ,crabby
21652,leerstoel,N,chair
21653,obscuur,ADJ,obscure
21654,nagelen,WW,to nail
21655,voorbeschouwing,N,preview
21656,magenta,N,magenta
21657,esthetiek,N,aesthetics
21658,toverstok,N,wand
21659,administrateur,N,administrator
21660,kwetteren,WW,twitter
21661,onthutst,ADJ,disconcerted
21662,leeuwerik,N,lark
21663,zwemster,N,swimmer
21664,paardenrennen,N,horse racing
21665,ziekenhuisopname,N,hospitalization
21666,ruiterlijk,ADJ,equestrian
21667,privé-terrein,N,Private terrain
21668,seance,N,seance
21669,verjonging,N,rejuvenation
21670,toupet,N,toupee
21671,middenberm,N,median strip
21672,uitdiepen,WW,deepen
21673,kidnapper,N,kidnapper
21674,filmstudio,N,film studio
21675,strings,N,strings
21676,sofinummer,N,social security number
21677,astronoom,N,astronomer
21678,nozem,ADJ,nozem
21679,barbarij,N,barbarism
21680,torenhoog,ADJ,sky high
21681,schubben,WW,scales
21682,bijleren,WW,learning
21683,vrijpostig,ADJ,bold
21684,dragons,N,dragons
21685,seal,N,seal
21686,werkboek,N,workbook
21687,zaliger,ADJ,blissful
21688,lichaamsgewicht,N,body weight
21689,damp,N,vapor
21690,live-uitzending,N,live broadcast
21691,booster,N,booster
21692,mijter,N,miter
21693,strandfeest,N,beach party
21694,overgangsperiode,N,transition period
21695,klapband,N,blowout
21696,bruisen,WW,fizzing
21697,bloemschikken,WW,flower arranging
21698,propeller,N,propeller
21699,bijrijder,N,co-driver
21700,excessief,ADJ,excessive
21701,schadeloosstelling,N,compensation
21702,blaaskaak,N,bladder jaw
21703,conjunctuur,N,business cycle
21704,topprioriteit,N,top priority
21705,straathond,N,street dog
21706,bedachtzaam,ADJ,thoughtful
21707,amfitheater,N,amphitheater
21708,drinkbaar,ADJ,drinkable
21709,spiritus,N,methylated spirits
21710,nering,N,business
21711,genezende,WW,healing
21712,onderhoudsbeurt,N,service
21713,sadistisch,ADJ,sadistic
21714,recordpoging,N,record attempt
21715,geanimeerd,ADJ,animated
21716,dikkerd,N,fat boy
21717,chai,N,chai
21718,rockers,N,rockers
21719,krenken,WW,hurt
21720,omkoperij,N,bribery
21721,onderarm,N,forearm
21722,binnenwandelen,WW,walk in
21723,pluizig,ADJ,fluffy
21724,milieubewust,ADJ,environmentally conscious
21725,slijter,N,liquor store
21726,fijnere,ADJ,finer
21727,dubbelleven,N,double life
21728,gorgonzola,N,gorgonzola
21729,speldje,N,pin
21730,ondervoed,ADJ,malnourished
21731,vliegmaatschappij,N,airline
21732,frustreren,WW,frustrate
21733,bloeddorstig,ADJ,bloodthirsty
21734,maïsveld,N,corn field
21735,nieuwsuitzending,N,news broadcast
21736,garnituur,N,garnish
21737,ongecompliceerd,ADJ,straightforward
21738,kassabon,N,receipt
21739,afzichtelijk,ADJ,hideous
21740,generaliseren,WW,generalize
21741,mormoon,N,Mormon
21742,ontglippen,WW,slip away
21743,zeis,N,scythe
21744,paperassen,N,paperwork
21745,veelzijdigheid,N,versatility
21746,klokkenspel,N,chimes
21747,tweejarig,ADJ,biennial
21748,aflikken,WW,lick it off
21749,scenarist,N,screenwriter
21750,beroepshalve,BW,professionally
21751,rustpauze,N,rest break
21752,uitgekiend,N,sophisticated
21753,bestorming,N,storming
21754,herseninfarct,N,cerebral infarction
21755,huwelijksgeschenk,N,wedding gift
21756,zomerseizoen,N,summer season
21757,knorrig,ADJ,grumpy
21758,goulash,N,Goulash
21759,spiegeling,N,mirroring
21760,rationaliteit,N,rationality
21761,dommel,N,drowsy
21762,vrieskist,N,freezer
21763,negenduizend,TW,nine thousand
21764,buidelrat,N,possum
21765,finishen,WW,finish
21766,blikopener,N,can opener
21767,hutkoffer,N,trunk
21768,leesclub,N,reading club
21769,roestbak,N,rust box
21770,zwaardvechter,N,swordsman
21771,eilandengroep,N,archipelago
21772,pelt,WW,peels
21773,topteam,N,top team
21774,lala,N,lala
21775,kasjmier,N,cashmere
21776,verdovend,ADJ,narcotic
21777,boxershort,N,boxer shorts
21778,ornaat,N,regalia
21779,suizen,WW,whizzing
21780,croupier,N,croupier
21781,snikheet,N,boiling hot
21782,kneuzen,WW,bruising
21783,rondrit,N,tour
21784,afkoopsom,N,redemption payment
21785,regelaar,N,controller
21786,kaste,N,caste
21787,sneeuwschuiver,N,snow shovel
21788,probeersel,N,try
21789,kruidentuin,N,herb garden
21790,tester,N,tester
21791,propageren,WW,propagate
21792,tomatensap,N,tomato juice
21793,topconditie,N,top condition
21794,dempen,WW,mute
21795,verstijfd,N,stiffened
21796,stilliggen,WW,to lie still
21797,periscoop,N,periscope
21798,slurpen,WW,slurping
21799,infiltrant,N,infiltrator
21800,drijvers,N,floats
21801,vervoersbedrijf,N,transport company
21802,wraakactie,N,revenge action
21803,losbandig,ADJ,dissolute
21804,kozijn,N,frame
21805,eetstoornis,N,Eating Disorder
21806,bambino,N,bambino
21807,ontspringen,WW,gush
21808,dizzy,ADJ,dizzy
21809,circulatie,N,circulation
21810,conformeren,WW,conform
21811,schooldirecteur,N,school principal
21812,leugenachtig,ADJ,lying
21813,tegoedbon,N,voucher
21814,bruidje,N,bride
21815,doorademen,WW,breathe through
21816,logeerpartij,N,sleepover
21817,laats,N,last
21818,lusteloos,ADJ,listless
21819,grensovergang,N,border crossing
21820,dualiteit,N,duality
21821,aftreksel,N,infusion
21822,artisjok,N,artichoke
21823,lentefeest,N,spring festival
21824,industries,N,industries
21825,kwaak,N,croak
21826,uitsturen,WW,send out
21827,dysenterie,N,dysentery
21828,njet,BW,njet
21829,getoeter,N,honking
21830,merchandising,N,merchandising
21831,gouw,N,shire
21832,aanhankelijk,ADJ,affectionate
21833,knipperende,ADJ,flashing
21834,houdgreep,N,headlock
21835,speciaalzaak,N,specialty store
21836,brandmerken,WW,branding
21837,bijschrijven,WW,credit
21838,schildknaap,N,squire
21839,netheid,N,cleanliness
21840,terrine,N,tureen
21841,wandelwagen,N,stroller
21842,sporttas,N,gym bag
21843,biseksueel,ADJ,bisexual
21844,neder,ADJ,down
21845,sightseeing,N,sightseeing
21846,vuurzee,N,conflagration
21847,sonnetten,N,sonnets
21848,geluidsinstallatie,N,sound system
21849,oppermachtig,ADJ,supreme
21850,geboortejaar,N,year of birth
21851,honderduit,N,hundred out
21852,materialistisch,ADJ,materialistic
21853,waarschuwingsschoten,N,warning shots
21854,kerstmuziek,N,Christmas music
21855,contractueel,ADJ,contractually
21856,bezoedelen,WW,tarnish
21857,kodak,N,kodak
21858,lakeien,N,lackeys
21859,bedoeïenen,N,Bedouin
21860,cineast,N,filmmaker
21861,verfilmen,WW,filming
21862,gastgezin,N,host family
21863,draaierig,ADJ,dizzy
21864,loonstrookje,N,payment slip
21865,schrikbewind,N,reign of terror
21866,turbine,N,turbine
21867,standvastigheid,N,constancy
21868,oorlogsmisdadiger,N,war criminal
21869,toevalstreffer,N,fluke
21870,voorkeursbehandeling,N,preferential treatment
21871,schoonzuster,N,sister in law
21872,prioritair,ADJ,priority
21873,reparateur,N,repairman
21874,ongeëvenaard,ADJ,second to none
21875,succesformule,N,success formula
21876,resistent,ADJ,resistant
21877,verzamelpunt,N,Assembly point
21878,eindfase,N,final phase
21879,danspartner,N,dance partner
21880,draf,N,trot
21881,bemande,ADJ,manned
21882,conserveren,WW,preservation
21883,baaien,ADJ,bays
21884,droombeeld,N,dream image
21885,schuwen,WW,shun
21886,onbeslist,ADJ,undecided
21887,neurologie,N,neurology
21888,curie,N,curia
21889,zakcentje,N,pocket money
21890,hesp,N,ham
21891,onbeschaafd,ADJ,uncultivated
21892,schede,N,sheath
21893,bitterzoet,ADJ,bittersweet
21894,familietraditie,N,family tradition
21895,verdommen,WW,damn it
21896,vaderen,N,father and
21897,charlatan,N,charlatan
21898,erbarmelijk,ADJ,pitiful
21899,speelplein,N,playground
21900,druiper,N,drip
21901,klungel,N,clumsy
21902,loodrecht,ADJ,perpendicular
21903,gaai,N,jay
21904,verslappen,WW,relax
21905,backhand,N,backhand
21906,steekwond,N,stab wound
21907,lichtzinnig,ADJ,frivolous
21908,minachtend,ADJ,disdainfully
21909,weldenkend,ADJ,right-minded
21910,spierwit,ADJ,bright white
21911,herwinnen,WW,regain
21912,sik,N,goatee
21913,diskwalificatie,N,disqualification
21914,invliegen,WW,fly in
21915,demoniseren,WW,demonize
21916,banjeren,WW,bust
21917,klimrek,N,climbing frame
21918,odyssee,N,odyssey
21919,chocoladereep,N,chocolate bar
21920,guacamole,N,guacamole
21921,yeti,N,yeti
21922,tankwagen,N,tanker
21923,pathologie,N,pathology
21924,vervroegen,WW,expedite
21925,knowhow,N,know-how
21926,pijlsnel,ADJ,lightning fast
21927,gelag,N,layer
21928,sjerp,N,sash
21929,bizon,N,bison
21930,binnenplein,N,courtyard
21931,anagram,N,anagram
21932,billijk,ADJ,fair
21933,medestander,N,ally
21934,onbevoegd,ADJ,unauthorized
21935,griffioen,N,griffin
21936,woongebied,N,residential area
21937,geldautomaten,N,ATMs
21938,buurtonderzoek,N,neighborhood research
21939,ziekenzaal,N,infirmary
21940,afzwakken,WW,attenuate
21941,vluchtplan,N,flight plan
21942,harses,N,resines
21943,halsoverkop,BW,headlong
21944,sportveld,N,sports field
21945,chiropractor,N,chiropractor
21946,ontraden,WW,advised against
21947,afgemat,N,jaded
21948,kroonjuwelen,N,crown jewels
21949,wegvagen,WW,fade away
21950,vrouwenrechten,N,female rights
21951,balansen,WW,balances
21952,geheimhoudingsplicht,N,duty of confidentiality
21953,driepunter,N,three-pointer
21954,theatergroep,N,theater group
21955,achterneef,N,grandnephew
21956,huurovereenkomst,N,rental agreement
21957,ritalin,N,ritalin
21958,verzekeringsagent,N,insurance agent
21959,solitaire,ADJ,solitaire
21960,westerling,N,westerner
21961,boekbespreking,N,book review
21962,levendigheid,N,liveliness
21963,gniffelen,WW,chuckle
21964,krantenkop,N,newspaper headline
21965,amor,N,amor
21966,vleeswond,N,flesh wound
21967,futloos,ADJ,lifeless
21968,passiviteit,N,passivity
21969,natter,ADJ,wetter
21970,geblondeerde,WW,bleached
21971,naspelen,WW,reenact
21972,taxibedrijf,N,taxi company
21973,bouwterrein,N,building site
21974,bonafide,N,bona fide
21975,ambulancepersoneel,N,ambulance staff
21976,onruststoker,N,troublemaker
21977,bespieden,WW,spy
21978,gebabbel,N,chatter
21979,schichtig,ADJ,skittish
21980,varkenshaas,N,tenderloin
21981,geëmancipeerd,ADJ,emancipated
21982,tuinstoel,N,lawn chair
21983,politiebescherming,N,police protection
21984,marinebasis,N,naval base
21985,prehistorisch,ADJ,prehistoric
21986,meelijwekkend,N,pitiful
21987,doctoraal,N,doctoral
21988,testrit,N,test drive
21989,springkussen,N,bouncy castle
21990,gevlekte,ADJ,spotted
21991,inwijden,WW,initiate
21992,wervel,N,vertebra
21993,veiligheidssysteem,N,security system
21994,verhoudingsgewijs,ADJ,proportionally
21995,verduisteren,WW,darken
21996,ongerept,ADJ,pristine
21997,servetje,N,napkin
21998,aars,N,ass
21999,marshmallow,N,marshmallow
22000,levensles,N,life lesson
22001,reu,N,male
22002,boekverslag,N,Book report
22003,panters,N,panthers
22004,miskleun,N,goof
22005,gewetenloos,ADJ,unscrupulous
22006,fauteuil,N,armchair
22007,achttal,N,eight
22008,uitgaansverbod,N,curfew
22009,rotleven,WW,bad life
22010,wrat,N,wart
22011,ochtendwandeling,N,morning walk
22012,omspringen,WW,to jump
22013,huiveren,WW,shiver
22014,behendigheid,N,agility
22015,zodanige,N,such
22016,glinsteren,WW,glitter
22017,laven,WW,refresh
22018,tetanus,N,tetanus
22019,falafel,N,Falafel
22020,verkeerschaos,N,traffic chaos
22021,postmodernisme,N,postmodernism
22022,oorlogsverklaring,N,declaration of war
22023,vermiljoen,N,vermilion
22024,schaatsster,N,skater
22025,afzetmarkt,N,sales market
22026,betrachten,WW,to exercise
22027,stationcar,N,station wagon
22028,satirisch,ADJ,satirical
22029,kussensloop,N,pillowcase
22030,landgenote,N,compatriot
22031,krachtens,VZ,by virtue of
22032,landrover,N,landrover
22033,uitschreeuwen,WW,Scream
22034,cyste,N,cyst
22035,takelen,WW,hoist
22036,investeringsmaatschappij,N,investment company
22037,présence,N,presence
22038,tweepersoons,ADJ,double
22039,ontvouwen,WW,unfold
22040,primus,N,primus
22041,jacket,N,jacket
22042,decoderen,WW,decoding
22043,arrestant,N,arrestee
22044,drugdealer,N,drug dealer
22045,mauve,N,mauve
22046,vastigheid,N,firmness
22047,graftombe,N,tomb
22048,hoofddeksel,N,headgear
22049,weerwerk,N,resistance
22050,rookvrij,ADJ,non-smoking
22051,babyvoeding,N,baby food
22052,belangstellend,ADJ,interested
22053,politieagente,N,policewoman
22054,ontstellend,ADJ,appalling
22055,afgaand,WW,going away
22056,overschatten,WW,overestimate
22057,scope,N,scope
22058,aanreiken,WW,handing over
22059,stealth,N,stealth
22060,bovenkamer,N,upper chamber
22061,statig,ADJ,stately
22062,neut,N,neut
22063,lichtstad,N,city of light
22064,kruimel,N,crumb
22065,fruitmand,N,fruit basket
22066,rotswand,N,rock face
22067,acid,N,acid
22068,autorisatie,N,authorization
22069,onthul,WW,reveal
22070,medeoprichter,N,co-founder
22071,kentekenplaat,N,licence plate
22072,zesendertig,TW,thirty six
22073,damhert,N,fallow deer
22074,vlammetje,N,flame
22075,haardroger,N,hair dryer
22076,vermoedden,WW,suspected
22077,eros,N,eros
22078,wereldwonder,N,wonder of the world
22079,recordhouder,N,record holder
22080,tegenpool,N,opposite
22081,alvleesklier,N,pancreas
22082,bloemblaadjes,N,petals
22083,kaaiman,N,caiman
22084,plaatshebben,WW,take place
22085,theologisch,ADJ,theological
22086,onbekommerd,ADJ,carefree
22087,merchandise,N,merchandise
22088,voedingswaarde,N,nutritional value
22089,bemiddeld,ADJ,mediated
22090,bijproduct,N,byproduct
22091,voorvechter,N,protagonist
22092,wiedes,VNW,who
22093,omslagdoek,N,shawl
22094,notenkraker,N,nutcracker
22095,stoofschotel,N,stew
22096,stichters,N,founders
22097,slippen,WW,slipping
22098,maansverduistering,N,lunar eclipse
22099,loot,N,loot
22100,superdruk,ADJ,Super busy
22101,toevloed,N,influx
22102,autocue,N,autocue
22103,monding,N,mouth
22104,verraadster,N,betrayer
22105,daarbeneden,ADJ,down there
22106,stollen,WW,solidify
22107,shiatsu,N,shiatsu
22108,inactief,ADJ,inactive
22109,hulpdienst,N,emergency service
22110,scrotum,N,scrotum
22111,uitruimen,WW,clearing out
22112,achterdek,N,aft deck
22113,juichten,WW,cheered
22114,doe-het-zelf,N,do it yourself
22115,afstempelen,WW,stamping
22116,machinisten,N,machinists
22117,verblijd,N,rejoice
22118,afweersysteem,N,defense system
22119,leverworst,N,liver sausage
22120,zoutoplossing,N,saline solution
22121,ongenaakbaar,ADJ,unapproachable
22122,fitnesscentrum,N,fitness center
22123,siësta,ADJ,siesta
22124,mediabedrijf,N,media company
22125,limbo,N,limbo
22126,vindersloon,N,finder's fee
22127,geraas,N,roar
22128,ophaal,N,pick up
22129,breekijzer,N,crowbar
22130,sus,N,sus
22131,stemmer,N,tuner
22132,marxistisch,ADJ,Marxist
22133,wolkendek,N,cloud cover
22134,zevenentwintig,TW,twenty seven
22135,cycloop,N,Cyclops
22136,loopbrug,N,walkway
22137,vocaal,ADJ,vocal
22138,zakenleven,N,business life
22139,sentimentaliteit,N,sentimentality
22140,converseren,WW,converse
22141,forceer,N,force
22142,bouwplan,N,building plan
22143,nanotechnologie,N,nanotechnology
22144,smalend,ADJ,scornful
22145,voorspraak,N,intercession
22146,metallic,ADJ,metallic
22147,hevelen,WW,siphoning
22148,squadron,N,squadron
22149,clement,N,clement
22150,nakie,N,nakie
22151,precair,ADJ,precarious
22152,hellen,WW,slope
22153,overloper,N,turncoat
22154,neurologisch,ADJ,neurological
22155,kindertehuis,N,children's home
22156,knakker,N,bitch
22157,enigma,N,enigma
22158,verlekkerd,ADJ,delighted
22159,onzichtbaarheid,N,invisibility
22160,ontroeren,WW,moving
22161,miskoop,N,bad buy
22162,incarnatie,N,incarnation
22163,losten,WW,solved
22164,rechtshandig,ADJ,right-handed
22165,videospel,N,video game
22166,afzonderen,WW,seclude
22167,vrijheidsberoving,N,deprivation of liberty
22168,vleeseter,N,carnivore
22169,empirisch,ADJ,empirical
22170,freelancen,WW,freelancing
22171,avant-garde,N,avant-garde
22172,bewonen,WW,inhabit
22173,koffiemelk,N,coffee creamer
22174,geologie,N,geology
22175,modehuis,N,fashion house
22176,koelte,N,coolness
22177,fata,N,fata
22178,wasabi,N,wasabi
22179,filmmuziek,N,film scores
22180,drupje,N,drop
22181,abrahams,N,Abraham's
22182,leukerd,N,nice
22183,besmeurde,WW,smeared
22184,kaïn,N,Cain
22185,dramatischer,ADJ,more dramatic
22186,kuieren,WW,amble
22187,piesen,WW,peeing
22188,ongelovig,ADJ,incredulous
22189,verzoeking,N,temptation
22190,proeve,N,taste
22191,afstrepen,WW,cross off
22192,inseminatie,N,insemination
22193,hartendief,N,sweetheart
22194,versoepelen,WW,relax
22195,atheïsme,N,atheism
22196,brandwond,N,burn
22197,mondharmonica,N,harmonica
22198,hertz,N,hertz
22199,kniezen,WW,mope
22200,vreugdevol,ADJ,joyful
22201,censureren,WW,censor
22202,korstje,N,crust
22203,rozentuin,N,rose garden
22204,volhardend,ADJ,persistent
22205,blaar,N,blister
22206,catalogi,ADJ,catalogs
22207,pace,N,pace
22208,groenteman,N,greengrocer
22209,tijdsbesteding,N,time commitment
22210,floreren,WW,flourish
22211,grim,N,grim
22212,antrax,N,anthrax
22213,consolideren,WW,consolidate
22214,aanvrager,N,applicant
22215,administratiekantoor,N,administration office
22216,huissleutel,N,house key
22217,verzoekschrift,N,petition
22218,cologne,N,Cologne
22219,wc-bril,N,toilet seat
22220,trog,N,trough
22221,geldstroom,N,cash flow
22222,chesterfield,N,chesterfield
22223,verban,N,banish
22224,biechtvader,N,confessor
22225,rave,N,rave
22226,instuderen,WW,rehearsing
22227,dierenrijk,N,animal Kingdom
22228,matinee,N,matinee
22229,blikseminslag,N,lightning strike
22230,teamgeest,N,team spirit
22231,tafelblad,N,tabletop
22232,nauwkeurigheid,N,accuracy
22233,zenuwgas,N,nerve gas
22234,schuimen,WW,foaming
22235,afknallen,WW,pop off
22236,rancuneus,ADJ,spiteful
22237,indraaien,WW,screw in
22238,wadi,N,wadi
22239,inbeslagname,N,seizure
22240,ochtendzon,N,morning sunshine
22241,versgebakken,WW,freshly baked
22242,actiefilm,N,action movie
22243,webadres,N,web address
22244,solist,N,soloist
22245,herbekijken,WW,review
22246,inspuiten,WW,inject
22247,verzekeringspolis,N,insurance policy
22248,flossen,WW,flossing
22249,hockeywedstrijd,N,hockey game
22250,wetsdienaar,N,lawyer
22251,wereldklasse,N,world class
22252,uitbannen,WW,banish
22253,misère,N,misery
22254,paspoortcontrole,N,passport control
22255,stijfkop,N,stiff-headed
22256,cycli,N,cycles
22257,basisspeler,N,base player
22258,tennisbal,N,tennis ball
22259,verzegelen,WW,to seal
22260,uiteenlopend,ADJ,different
22261,diepen,WW,deep
22262,vector,N,vector
22263,stupide,ADJ,stupid
22264,ijsbergsla,N,iceberg lettuce
22265,bezwering,N,incantation
22266,torpederen,WW,torpedo
22267,staatsrecht,N,constitutional law
22268,werelddeel,N,continent
22269,logé,N,guest
22270,aanboren,WW,tapping
22271,criminologie,N,criminology
22272,zuiderlingen,N,southerners
22273,versuft,ADJ,dazed
22274,washok,N,laundry room
22275,vuilak,N,garbage
22276,peinzen,WW,meditate
22277,vervuiler,N,polluter
22278,vrijplaats,N,sanctuary
22279,geslachtsdeel,N,genitals
22280,treinongeluk,N,train accident
22281,protestants,ADJ,Protestant
22282,oppasser,N,keeper
22283,stelpen,WW,adjusting pin
22284,putter,N,putter
22285,zakenrelatie,N,business relationship
22286,coacht,N,coaches
22287,uitgerekt,ADJ,stretched
22288,uitdraai,N,printout
22289,slordigheid,N,carelessness
22290,bankkluis,N,bank vault
22291,bijdehandje,N,smart ass
22292,spoorwegovergang,N,Railroad crossing
22293,transportbedrijf,N,transport company
22294,alleenrecht,N,exclusive right
22295,grotesk,ADJ,grotesque
22296,antraciet,N,anthracite
22297,skateboarden,WW,skateboarding
22298,kwantum,N,quantum
22299,sidderen,WW,tremble
22300,pieptoon,N,beep
22301,tintelen,WW,tingling
22302,speurneus,N,detective
22303,fanaat,N,fanatic
22304,kolos,N,colossus
22305,buldog,N,bulldog
22306,olijfboom,N,olive tree
22307,hoofdhuid,N,scalp
22308,maandags,N,Mondays
22309,linkerschouder,N,left shoulder
22310,rugtas,N,backpack
22311,theemuts,N,tea cozy
22312,verbrandingsmotor,N,combustion engine
22313,hondenschool,N,dog school
22314,neveneffect,N,side effect
22315,rechterknie,N,right knee
22316,geloofsgemeenschap,N,faith community
22317,strafvervolging,N,criminal prosecution
22318,operatief,ADJ,operative
22319,drooglegging,N,Prohibition
22320,kurkdroog,ADJ,bone dry
22321,opwaardering,N,upgrading
22322,sorbet,N,sorbet
22323,verkleuring,N,discoloration
22324,salueren,WW,salute
22325,lichtjaar,N,light years
22326,microgolf,N,microwave
22327,nevelen,WW,mist
22328,exercitie,N,exercise
22329,onderkoning,N,viceroy
22330,autoruit,N,car window
22331,munteenheid,N,currency
22332,turbulent,ADJ,turbulent
22333,scherf,N,shard
22334,koetshuis,N,coach house
22335,ledig,ADJ,empty
22336,geschiktheid,N,suitability
22337,surrogaat,N,surrogate
22338,pureren,WW,puree
22339,meisjesachtig,ADJ,girlish
22340,ruimteveer,N,space shuttle
22341,tekortkoming,N,shortcoming
22342,theekransje,N,tea party
22343,wanhoopsdaad,N,act of desperation
22344,tipgever,N,tipster
22345,neertellen,WW,count down
22346,coöperatief,ADJ,co-operative
22347,oververmoeid,WW,overtired
22348,ontfutselen,WW,to steal
22349,bevuilen,WW,dirty
22350,absurditeit,N,absurdity
22351,vlo,N,flea
22352,pais,N,pais
22353,handelsmissie,N,trade mission
22354,wraakzuchtig,ADJ,vindictive
22355,betekenisloos,ADJ,meaningless
22356,milieubeweging,N,environmental movement
