,word,POS,EN_translation,lidwoord
22894,autist,N,autistic,de
22895,pompbediende,N,gas station attendant,
22896,behept,ADJ,controlled,
22897,kwispelen,WW,wagging the tail,
22898,waagschaal,N,risk scale,
22899,zwemkleding,N,swimwear,
22900,onbekendheid,N,unfamiliarity,
22901,grondbeginselen,N,basics,
22902,openingswedstrijd,N,opening match,de
22903,verstrekking,N,provision,werkwoord
22904,luchtverfrisser,N,air freshener,de
22905,aanstichter,N,instigator,werkwoord
22906,scenarioschrijver,N,screenwriter,de
22907,artificiële,ADJ,artificial,
22908,verstandsverbijstering,N,insanity,de
22909,slachtbank,N,slaughterhouse,de
22910,bonsai,N,bonsai,de
22911,galabal,N,gala ball,het
22912,belerend,ADJ,pedantic,
22913,bataljons,N,battalions,de
22914,paintball,N,paintball,het
22915,soulmate,N,soul mate,de
22916,vastgrijpen,WW,grasp,
22917,kerstviering,N,Christmas celebration,de
22918,overlijdensbericht,N,obituary,
22919,oliedom,ADJ,oil dumb,
22920,steels,ADJ,furtive,
22921,droomvrouw,N,dream woman,
22922,meereizen,WW,travel along,
22923,argeloos,ADJ,harmless,
22924,prijzenswaardig,ADJ,commendable,
22925,supercomputer,N,supercomputer,
22926,olieverf,N,oil paint,de
22927,boerenverstand,N,common sense,
22928,chaperonne,N,chaperone,de
22929,tafelvoetbal,N,table football,
22930,draaideur,N,revolving door,de
22931,onuitvoerbaar,ADJ,impracticable,
22932,dubbelagent,N,double agent,
22933,relletjes,N,riots,werkwoord
22934,föhnen,WW,blow dry,
22935,ukelele,N,ukulele,de
22936,escortbureau,N,escort agency,
22937,stofwolk,N,dust cloud,de
22938,klopje,N,pat,bijvoeglijk
22939,poëet,N,poet,de
22940,uitdrijven,WW,drive out,
22941,trefwoord,N,keyword,het
22942,liefdesnestje,N,love nest,
22943,dondersteen,BW,thunderstone,
22944,twaalfhonderd,TW,twelve hundred,
22945,bovenhalen,WW,bring out,
22946,woensdagnacht,N,Wednesday night,
22947,cognacje,N,cognac,de
22948,verhalenverteller,N,storyteller,
22949,kraamafdeling,N,maternity ward,
22950,bliksemsnel,ADJ,lightning fast,
22951,straatroof,N,street robbery,de
22952,wijnboer,N,winegrower,de
22953,goedgelovige,ADJ,gullible,
22954,veiligheidsagent,N,security guard,de
22955,esdoorn,N,Maple,de
22956,marlijn,N,marlin,de
22957,granieten,WW,granite,
22958,alcoholcontrole,N,alcohol control,
22959,playbacken,WW,miming,
22960,couvert,N,place setting,het
22961,staatsgrens,N,state border,
22962,onschendbaar,ADJ,inviolable,
22963,brandnetel,N,nettle,
22964,borstvergroting,N,breast augmentation,
22965,autocoureur,N,racing driver,
22966,energieniveau,N,energy level,
22967,hartsvriendin,N,best friend,de
22968,schilderachtig,ADJ,scenic,
22969,nijlpaarden,N,hippos,het
22970,razzia,N,round-up,de
22971,brandewijn,N,brandy,de
22972,reservatie,N,reservation,de
22973,centers,N,centers,de/het
22974,bijspijkeren,WW,brush up,
22975,driejarig,ADJ,three-year,
22976,concerto,N,concerto,het
22977,lichtvaardig,ADJ,lightly,
22978,geiser,N,geyser,de
22979,indoctrinatie,N,indoctrination,werkwoord
22980,cassis,N,cassis,de
22981,kostje,N,food,de
22982,bemoediging,N,encouragement,werkwoord
22983,lengen,WW,lengthen,
22984,omzichtig,ADJ,cautiously,
22985,stuurwiel,N,steering wheel,het
22986,shutters,N,shutters,werkwoord
22987,verloskamer,N,delivery room,
22988,pocus,N,pocus,werkwoord
22989,velours,N,velor,de
22990,marskramer,N,peddler,de
22991,karaf,N,carafe,de
22992,deserteren,WW,desert,
22993,opgerot,WW,rotted up,
22994,cayenne,N,cayenne,het
22995,priem,N,awl,de
22996,rechterschouder,N,right shoulder,
22997,kwaken,WW,croak,
22998,negenentwintig,TW,twenty nine,
22999,uitkijkpost,N,lookout,werkwoord
23000,tennisclub,N,tennis club,het
23001,geranium,N,geranium,de
23002,voorhuid,N,foreskin,
23003,opvoeder,N,educator,werkwoord
23004,notoir,BW,notoriously,
23005,gespeend,WW,weaned,
23006,distributiecentrum,N,distribution center,het
23007,kwab,N,lobe,de
23008,karaktertrekken,N,character traits,
23009,eettent,N,dining tent,de
23010,species,N,species,de
23011,lay-outs,N,layouts,de
23012,miauw,ADJ,Miauw,
23013,hooglanders,N,highlanders,de
23014,studieschuld,N,student debt,
23015,smiths,N,smiths,het
23016,pappen,WW,porridges,
23017,dorpsfeest,N,village festival,
23018,neerzitten,WW,sit down,
23019,rayon,N,rayon,het
23020,heroverweging,N,reconsideration,werkwoord
23021,scheikundige,N,chemist,de
23022,stikjaloers,ADJ,envious,
23023,voeteneind,N,footboard,
23024,bepakking,N,packing,
23025,praatjesmaker,N,chatterer,de
23026,suède,N,suede,de/het
23027,vertroebelt,WW,clouded,
23028,geluidskwaliteit,N,sound quality,
23029,binnenwerk,N,interior,het
23030,illusionist,N,illusionist,de
23031,geklooi,N,mess,
23032,achterklap,N,back cover,het
23033,voorsmaakje,N,foretaste,
23034,tweeledig,ADJ,twofold,
23035,diagnostiek,N,diagnostics,de
23036,komediant,N,comedian,de
23037,opper,N,upper,
23038,zendeling,N,missionary,de
23039,wijsje,N,tune,de
23040,matador,N,matador,de
23041,handhaaf,N,maintain,werkwoord
23042,wapenkamer,N,armory,
23043,boeddhistisch,ADJ,Buddhist,
23044,parkeerboete,N,parking fine,
23045,rood-wit,ADJ,Red White,
23046,onuitputtelijk,ADJ,inexhaustible,
23047,warhoofd,N,muddlehead,
23048,uniformiteit,N,uniformity,
23049,naamkaartje,N,name tag,
23050,bevolkingsgroei,N,population growth,
23051,leegdrinken,WW,drink it out,
23052,overjas,N,overcoat,
23053,aaibaar,ADJ,cuddly,
23054,verscheiden,WW,various,
23055,handzaam,ADJ,handy,
23056,koemelk,N,cow's milk,de
23057,hersenschade,N,brain damage,
23058,bevaren,WW,to sail,
23059,juut,N,juut,mv.
23060,massagraven,N,mass graves,het
23061,busongeluk,N,bus accident,
23062,waarheidsgetrouw,ADJ,truthful,
23063,schrijfwijze,N,spelling,
23064,manipulatief,ADJ,manipulative,
23065,voorstellingsvermogen,N,imagination,
23066,ongemeen,ADJ,uncommon,
23067,eredoctoraat,N,honorary doctorate,het
23068,leguaan,N,iguana,de
23069,spaarbank,N,savings bank,de
23070,familiaal,ADJ,familial,
23071,pus,N,pus,de
23072,laxeermiddel,N,laxative,
23073,verjaren,WW,expire,
23074,stoomtrein,N,steam train,
23075,hondenhok,N,doghouse,het
23076,sociologisch,ADJ,sociologically,
23077,modellenwerk,N,modeling,het
23078,onbeweeglijk,ADJ,motionless,
23079,tienermeisje,N,teenage girl,
23080,puntig,ADJ,pointed,
23081,schimmig,ADJ,shadowy,
23082,bedrijfseconomie,N,business economics,
23083,stemronde,N,voting round,
23084,cowboyhoed,N,cowboy hat,de
23085,echelon,N,echelon,de
23086,knauw,N,bite,de
23087,ondeugdelijk,ADJ,faulty,
23088,autoshow,N,auto show,het
23089,pierrot,N,Pierrot,de
23090,aalmoezenier,N,chaplain,de
23091,lasser,N,welder,de
23092,agressiviteit,N,aggressiveness,de
23093,mensdom,N,humanity,het
23094,verkiezingsstrijd,N,election struggle,de
23095,ophaalbrug,N,drawbridge,
23096,snijvlak,BW,cutting edge,
23097,emissie,N,emission,de
23098,knalfeest,N,blast party,het
23099,gesnotter,N,sniffling,
23100,vervoersmiddel,N,means of transport,
23101,verdedigingslinie,N,line of defense,
23102,balsem,N,balm,de
23103,dipsaus,N,Dip,de
23104,uitstrijkje,N,smear test,
23105,zonnebrandcrème,N,sunscreen,de
23106,eigenaarschap,N,ownership,het
23107,verkeersbord,N,traffic sign,het
23108,ijscoman,N,ice cream man,de
23109,muziekprogramma,N,music program,
23110,gemekker,ADJ,moaning,
23111,partituur,N,score,de
23112,waspoeder,N,washing powder,
23113,scheerschuim,N,shaving foam,het
23114,naschrift,N,postscript,werkwoord
23115,tijdslot,N,timeslot,de
23116,wrikken,WW,pry,
23117,afkrijgen,WW,get it off,
23118,lenigheid,N,agility,werkwoord
23119,aasgier,N,Egyptian vulture,de
23120,cosmetisch,ADJ,cosmetic,
23121,getrouwe,N,faithful,de
23122,portretteren,WW,portray,
23123,mensenwereld,N,human world,het
23124,specificatie,N,specification,de
23125,hagelbui,N,hailstorm,de
23126,zuiderling,N,southerner,de
23127,coulant,ADJ,accommodating,
23128,vijlen,WW,files,
23129,beïnvloedbaar,ADJ,impressionable,
23130,verfrissing,N,refreshment,
23131,achterruit,N,rear window,de
23132,sportwinkel,N,sports shop,
23133,slaapkamerdeur,N,bedroom door,de
23134,recycleren,WW,to recycle,
23135,tussenlanding,N,stopover,
23136,bestendig,ADJ,resistant,
23137,topcrimineel,ADJ,top criminal,
23138,getuige-deskundige,N,expert witness,de
23139,onwezenlijk,ADJ,unreal,
23140,godverlaten,ADJ,godforsaken,
23141,steunbetuiging,N,statement of support,de
23142,onbaatzuchtig,ADJ,selfless,
23143,natmaken,WW,make wet,
23144,klapstuk,N,beef,de
23145,cocktailbar,N,cocktail bar,de
23146,massaproductie,N,mass production,het
23147,luchtdicht,N,airtight,
23148,liefdadigheidsinstelling,N,charity,de
23149,bindmiddel,N,binder,het
23150,ijk,ADJ,gauge,
23151,profielschets,N,profile,de
23152,verwerping,N,rejection,de
23153,ongeschoren,ADJ,unshaven,
23154,donkerrood,ADJ,dark red,
23155,raften,WW,rafting,
23156,zelfmoordmissie,N,suicide mission,
23157,mediacircus,N,media circus,het
23158,majestueus,N,majestic,bijvoeglijk
23159,conglomeraat,N,conglomerate,de
23160,calamiteit,N,calamity,de
23161,farizeeërs,N,pharisees,de
23162,interferentie,N,interference,werkwoord
23163,kraagje,N,collar,de
23164,roerganger,N,helmsman,
23165,hoeders,N,guardians,de
23166,bureaucraat,N,bureaucrat,de
23167,geldtransport,N,money transport,het
23168,neonazi,N,neo-Nazi,de
23169,verankering,N,anchoring,de
23170,fuik,N,trap,de
23171,empathisch,ADJ,empathetic,
23172,stade,N,stade,
23173,kraakhelder,ADJ,crystal clear,
23174,contradictio,N,contradiction,de
23175,bedeesd,ADJ,timid,
23176,nichterig,ADJ,niece,
23177,stekelvarken,N,porcupine,het
23178,trainingscentrum,N,training center,
23179,gepikeerd,ADJ,irritated,
23180,voeder,N,feed,werkwoord
23181,eindwerk,N,thesis,het
23182,ontkiemen,WW,germinate,
23183,rechteroor,N,right ear,
23184,stroper,N,poacher,de
23185,geilen,WW,horny,
23186,mitrailleur,N,machine gun,de
23187,heilbot,N,halibut,de
23188,daklozenopvang,N,homeless shelter,
23189,condoleance,N,condolence,de
23190,stopbord,N,stop sign,het
23191,rachels,N,rachels,de
23192,ijkpunt,N,checkpoint,het
23193,werkman,N,workman,de
23194,houthandel,N,timber trade,werkwoord
23195,boerenjongens,N,farm boys,
23196,uitvaardigen,WW,issue,
23197,configureren,WW,configure,
23198,stadsmuren,N,city walls,
23199,supermacht,N,superpower,de
23200,structureren,WW,structuring,
23201,hoofdredactrice,N,editor-in-chief,
23202,thuiszitten,WW,be at home,
23203,gretigheid,N,eagerness,
23204,kwaadschiks,ADJ,maliciously,
23205,wereldpremière,N,world premiere,
23206,kuchen,WW,coughing,
23207,knobbel,N,lump,de
23208,ademtest,N,breath test,de
23209,hossen,WW,hossen,
23210,gnoe,N,wildebeest,de
23211,ribbetjes,N,ribs,de
23212,rechtszitting,N,court hearing,de
23213,kleuterjuf,N,kindergarten teacher,
23214,verpanden,WW,pledge,
23215,zijns,BW,his,
23216,ereplaats,N,place of honor,
23217,kronkel,N,twirl,
23218,lappendeken,N,patchwork,
23219,poet,N,poet,de
23220,woedeaanval,N,temper tantrum,de
23221,toiletbezoek,N,toilet visit,mv
23222,toverschool,N,magic school,
23223,zelfoverschatting,N,overestimation,de
23224,overlevingskans,N,survival rate,
23225,stoker,N,stoker,de
23226,laksheid,N,laxity,
23227,snip,N,snipe,de
23228,liegbeest,N,lying beast,het
23229,stuiven,WW,dusting,
23230,cellist,N,cellist,
23231,vierwielaandrijving,N,four wheel drive,
23232,afvalcontainer,N,waste container,de
23233,prijsvechter,N,price fighter,
23234,brenger,ADJ,bringer,
23235,achterlijn,N,back line,het
23236,loontje,N,wages,de
23237,broeikas,N,greenhouse,het
23238,nerf,N,grain,de
23239,gom,N,gum,de
23240,prostitué,N,prostitute,de
23241,crisisteam,N,crisis team,de
23242,pikkedonker,N,pitch dark,bijvoeglijk
23243,groeperen,WW,grouping,
23244,provo,N,provo,de
23245,fiksen,WW,fix it,
23246,herkauwen,WW,rumination,
23247,boemel,N,boomel,de
23248,roffel,N,roll,werkwoord
23249,beginperiode,N,initial period,
23250,opdoffer,N,bullshit,werkwoord
23251,octrooi,N,patent,het
23252,rechthoekig,ADJ,rectangular,
23253,guts,N,gouge,het
23254,melodrama,N,melodrama,het
23255,genadeslag,N,final blow,de
23256,noordzijde,N,north side,het
23257,intekenen,WW,sign up,
23258,verdommenis,N,damn,de
23259,yogi,N,yogi,de
23260,modderpoel,N,mud pool,bijvoeglijk
23261,kersttijd,N,Christmas time,de
23262,muziekinstrument,N,musical instrument,het
23263,reisschema,N,travel schedule,
23264,bezemkast,N,broom closet,werkwoord
23265,opbranden,WW,burn out,
23266,wisselkoers,N,exchange rate,
23267,scheerbeurt,N,shave,
23268,eersteklasser,N,first grader,de
23269,kicks,N,kicks,mv.
23270,polijsten,WW,polishing,
23271,weekenddienst,N,weekend shift,de
23272,drugsprobleem,N,drug problem,het
23273,machthebber,N,ruler,de
23274,goedgezind,ADJ,benevolent,
23275,tv-ster,N,TV star,het
23276,kortbij,ADJ,short by,
23277,hongeren,WW,to starve,
23278,onfortuinlijk,ADJ,unfortunate,
23279,verwijfd,ADJ,effeminate,
23280,chilipoeder,N,chili powder,de
23281,vereeuwigen,WW,immortalize,
23282,veerpont,N,ferry,de
23283,sanhedrin,N,sanhedrin,het
23284,afkondigen,WW,proclaim,
23285,zielenknijper,N,shrink,de
23286,rebellenleider,N,rebel leader,de
23287,voorrijden,WW,drive in front,
23288,schamel,ADJ,paltry,
23289,nitwit,N,nitwit,de
23290,facet,N,facet,het
23291,gepieker,N,worry,
23292,televisiestation,N,television station,
23293,halfzeven,N,half past six,de
23294,legionairs,N,legionaries,de
23295,oliecrisis,N,oil crisis,
23296,minachten,WW,disdain,
23297,donkergrijs,ADJ,dark gray,
23298,waterkanon,N,water cannon,de
23299,bezitterig,ADJ,possessive,
23300,prijzenkast,N,trophy cabinet,werkwoord
23301,politiehond,N,police dog,de
23302,outlaw,N,outlaw,de
23303,onthand,ADJ,disaffected,
23304,zonnewende,N,solstice,de
23305,vuilstort,N,landfill,
23306,fysisch,ADJ,physically,
23307,breedbeeld,N,widescreen,de
23308,schreeuwerig,ADJ,garish,
23309,opbeuren,WW,uplifting,
23310,hakbijl,N,cleaver,het
23311,logement,N,lodging,het
23312,capoeira,N,capoeira,het
23313,hunkering,N,craving,
23314,psoriasis,N,psoriasis,de
23315,opwarmertje,N,warm-up,de
23316,bosuil,ADJ,tawny owl,
23317,bobs,N,bobs,de
23318,grapjassen,N,jokers,de
23319,kinderfonds,N,children's fund,het
23320,stelligheid,N,certainty,
23321,onbalans,N,imbalance,
23322,legerleider,N,army chief,de
23323,onvruchtbaarheid,N,infertility,de
23324,hitparade,N,hit parade,de
23325,lichtheid,N,lightness,het
23326,sportkrant,N,sports newspaper,de
23327,oliebedrijf,N,oil company,
23328,openingsavond,N,opening night,
23329,meewegen,WW,weigh in,
23330,omleiden,WW,redirect,
23331,cultiveren,WW,cultivate,
23332,boomschors,N,bark,de
23333,voetbalelftal,N,football team,het
23334,hardvochtig,ADJ,harsh,
23335,ebola,N,Ebola,de
23336,nieuwjaarsfeest,N,new year party,het
23337,capella,N,capella,
23338,bijklank,N,connotation,werkwoord
23339,baklava,N,baklava,de
23340,tuinkabouter,N,garden gnome,
23341,begerig,ADJ,greedy,
23342,kaki,N,persimmon,het
23343,doctorandus,N,doctoral student,de
23344,larve,N,larva,de
23345,hartelijkheid,N,cordiality,bijvoeglijk
23346,diëtiste,N,dietician,de
23347,honderdje,N,hundred,de
23348,buurtfeest,N,block party,
23349,doodgeboren,ADJ,stillborn,
23350,kiplekker,ADJ,chicken yummy,
23351,groentetuin,N,vegetable garden,de
23352,rijtjeshuis,N,terraced house,
23353,paskamer,N,fitting room,
23354,bloemenmeisje,N,flower girl,
23355,herstructureren,WW,restructure,
23356,ontegensprekelijk,ADJ,undeniably,
23357,spalk,N,splint,werkwoord
23358,verongelijkt,ADJ,wronged,
23359,spoorwegmaatschappij,N,railway company,
23360,impliceren,WW,imply,
23361,regeringsleger,N,government army,het
23362,ontreddering,N,upheaval,bijvoeglijk
23363,broncode,N,source code,
23364,wespennest,N,wasp nest,het
23365,plaatsgenoot,N,fellow townsman,het
23366,onderdanige,ADJ,submissive,
23367,slaggemiddelde,N,batting average,
23368,leners,N,borrowers,
23369,vergelijkend,ADJ,comparative,
23370,poppentheater,N,puppet theater,
23371,sterks,ADJ,strong,
23372,drietand,N,trident,het
23373,aanmodderen,WW,muddle through,
23374,ooi,N,ewe,de
23375,sodawater,N,soda water,
23376,privé-eigendom,N,Private ownership,het
23377,pikzwart,ADJ,pitch-black,
23378,opnamestudio,N,recording studio,
23379,wereldkampioene,N,world champion,de
23380,consulteren,WW,consult,
23381,practicum,N,practicum,het
23382,bruidsboeket,N,bridal bouquet,
23383,memento,N,memento,het
23384,weerbaar,ADJ,resilient,
23385,corduroy,N,corduroy,de
23386,zandkasteel,N,sandcastle,
23387,heiland,N,Savior,de
23388,schnaps,N,schnapps,de
23389,knelpunt,N,bottleneck,
23390,afkondiging,N,promulgation,
23391,watermerk,N,watermark,het
23392,snelheidslimiet,N,speed limit,
23393,reder,N,shipowner,de
23394,president-directeur,N,president-director,de
23395,riedel,N,tune,de
23396,justitieel,ADJ,judicial,
23397,donkergroen,ADJ,dark green,
23398,schoffel,N,hoe,werkwoord
23399,kaarsrecht,ADJ,dead straight,
23400,tucht,N,discipline,de
23401,onteigenen,WW,expropriate,
23402,requisitoir,ADJ,requisitoir,
23403,droomprins,N,Prince Charming,
23404,pancreas,N,pancreas,de
23405,calculator,N,calculator,de
23406,begintijd,N,start time,de
23407,noodzakelijkheid,N,necessity,de
23408,schermer,N,fencer,werkwoord
23409,rossen,WW,steed,
23410,weerstation,N,weather station,werkwoord
23411,hoofdthema,N,main theme,
23412,verhuiswagen,N,moving van,
23413,heldenmoed,N,heroism,de
23414,intrest,N,interest,de
23415,krakeling,N,pretzel,het
23416,lijster,N,thrush,de
23417,pikdonker,ADJ,pitch dark,
23418,saboteur,N,saboteur,de
23419,manco,N,shortage,het
23420,agitatie,N,agitation,de
23421,biker,N,biker,de
23422,spionne,N,spy,de
23423,luitenant-ter-zee,N,Lieutenant Commander,de
23424,lunchpakket,N,packed lunch,het
23425,veiligheidszone,N,safety zone,de
23426,stretchen,WW,stretching,
23427,knieschijf,N,kneecap,
23428,raceauto,N,race car,de
23429,gelasten,WW,order,
23430,zwavelzuur,N,sulphuric acid,bijvoeglijk
23431,aftekenen,WW,signing off,
23432,superidee,N,super idea,de
23433,barvrouw,N,bartender,de
23434,tutoyeren,WW,tutoring,
23435,tuit,N,spout,werkwoord
23436,kaartlezer,N,card reader,werkwoord
23437,nationalist,N,nationalist,werkwoord
23438,profetisch,ADJ,prophetic,
23439,straffeloos,ADJ,with impunity,
23440,schildering,N,painting,de
23441,broeierig,ADJ,sweltering,
23442,spoiler,N,spoiler,de
23443,bijvoeglijk,ADJ,adjective,
23444,verg,WW,cf.,
23445,coating,N,coating,de
23446,scherpstellen,WW,focus,
23447,pornografisch,ADJ,pornographic,
23448,holbewoner,N,caveman,de
23449,erts,N,ore,het
23450,luchtledige,ADJ,airless,
23451,chronologie,N,chronology,de
23452,bananenrepubliek,N,banana republic,de
23453,constellatie,N,constellation,de
23454,gesjouw,N,lugging,
23455,fysicus,N,physicist,de
23456,steur,N,sturgeon,de
23457,fraudezaak,N,fraud case,de
23458,trompettist,N,trumpet player,de
23459,rasa,N,rasa,het
23460,wellen,WW,well,
23461,parkeergeld,N,parking fee,
23462,oprakelen,WW,stir up,
23463,borstplaat,N,chestplate,de
23464,zwerfhond,N,stray dog,het
23465,kristalhelder,ADJ,crystal clear,
23466,doodsimpel,N,dead simple,bijvoeglijk
23467,schoolraad,N,school council,werkwoord
23468,afkeur,N,disapproval,werkwoord
23469,opportunisten,N,opportunists,het
23470,onderschrift,N,caption,het
23471,verijdelen,WW,foiling,
23472,levensweg,N,life path,de
23473,luxer,ADJ,more luxurious,
23474,verhandelde,WW,traded,
23475,afschepen,WW,fob off,
23476,meevechten,WW,fight along,
23477,bloedvergiftiging,N,septicemia,de
23478,propje,N,pellet,het
23479,paradijselijk,ADJ,paradise,
23480,mulders,N,mulders,de
23481,ratel,N,rattle,werkwoord
23482,heroïsch,ADJ,heroic,
23483,snoeischaar,N,pruning shears,de
23484,gepocheerd,ADJ,poached,
23485,natuurliefhebber,N,nature lover,
23486,grondrecht,N,fundamental right,de
23487,kooldioxide,N,carbon dioxide,het
23488,dagdroom,N,daydream,werkwoord
23489,bazuin,N,trumpet,de
23490,doorgeefluik,N,serving hatch,
23491,aanwerven,WW,recruit,
23492,rockgroep,N,rock band,
23493,breeduit,BW,broadly,
23494,cruiser,N,cruiser,de
23495,spanwijdte,N,wingspan,de
23496,liquide,ADJ,liquid,
23497,onsympathiek,ADJ,unsympathetic,
23498,randdebiel,ADJ,rimmed retarded,
23499,donkerte,N,darkness,
23500,vriendenclub,N,friends club,de
23501,frase,N,phrase,de
23502,productiebedrijf,N,production company,
23503,liefdeloos,ADJ,loveless,
23504,nieuwsflits,ADJ,news flash,
23505,habijt,N,habit,het
23506,onderbuikgevoel,N,gut feeling,
23507,parallelweg,N,parallel road,de
23508,vertegenwoordigster,N,representative,
23509,onbevoegden,ADJ,unauthorized persons,
23510,inkten,WW,inks,
23511,klassieken,N,classics,de
23512,doorprikken,WW,puncture,
23513,sari,N,sari,de
23514,aikido,N,aikido,het
23515,hersenspoeling,N,brainwashing,
23516,automatiseren,WW,automate,
23517,bliksemschicht,N,bolt of lightning,
23518,pastels,N,pastels,werkwoord
23519,cantor,N,cantor,de
23520,bloedverwant,N,kinsman,bijvoeglijk
23521,overtreder,N,offender,de
23522,onbewerkt,N,raw,de
23523,bedrijfswereld,N,business world,
23524,voortdoen,WW,continue,
23525,meevoelen,WW,empathize,
23526,zinloosheid,N,meaninglessness,
23527,opperen,WW,suggest,
23528,eikenboom,N,oak tree,de
23529,achterwand,N,back wall,
23530,verbanddoos,N,first aid kit,de
23531,doorleven,WW,live through,
23532,inwoonster,N,resident,
23533,ridderlijkheid,N,chivalry,
23534,bezeer,BW,hurt,
23535,rampplek,N,crash site,de
23536,spreekwoordelijk,ADJ,proverbial,
23537,poon,N,gurnard,werkwoord
23538,aardoppervlak,N,earth's surface,het
23539,transportkosten,N,transportation costs,mv
23540,onvermoeibare,ADJ,tireless,
23541,vaderlijk,ADJ,paternal,
23542,deactiveren,WW,deactivate,
23543,besluiteloosheid,N,indecision,
23544,reclamespotje,N,commercial,de
23545,puls,N,pulse,de
23546,motivator,N,motivator,de
23547,oker,N,ocher,bijvoeglijk
23548,rijpheid,N,maturity,de
23549,oxytocine,N,oxytocin,
23550,doelgebied,N,target area,het
23551,opplakken,WW,stick on,
23552,drieëndertig,TW,thirty three,
23553,einden,WW,ends,
23554,trompetter,N,trumpet player,werkwoord
23555,dooier,N,yolk,de
23556,afzakkertje,N,nightcap,
23557,gevoelsmens,N,emotional person,de
23558,metaforisch,ADJ,metaphorically,
23559,onbemind,ADJ,unloved,
23560,vrijkaart,N,free ticket,de
23561,triton,N,triton,de
23562,gewiekst,WW,shrewd,
23563,nieuwen,ADJ,new ones,
23564,winderigheid,N,flatulence,
23565,dreigbrieven,N,threatening letters,de
23566,zoeklicht,N,searchlight,
23567,wraakzucht,N,vindictiveness,
23568,spuitwater,N,sparkling water,
23569,aanknopen,WW,tie up,
23570,douchekop,N,shower head,de
23571,aanpassingsvermogen,N,adaptability,
23572,zestigduizend,TW,sixty thousand,
23573,hartslagmeter,N,heart rate monitor,
23574,normaliseren,WW,normalize,
23575,wiskundeleraar,N,math teacher,de
23576,kantoorwerk,N,office work,het
23577,hardwerkend,ADJ,hardworking,
23578,vestig,N,settle,werkwoord
23579,pirouette,N,pirouette,de
23580,bierbuik,N,beer belly,de
23581,typiste,N,typist,
23582,astroloog,N,astrologer,
23583,studieboek,N,textbook,de
23584,cyborg,N,cyborg,de
23585,vieux,N,vieux,de
23586,vriesvak,N,freezer,werkwoord
23587,hocus,N,hocus,de
23588,drummond,ADJ,drummond,
23589,constitutie,N,constitution,de
23590,radio-interview,N,radio interview,
23591,schunnig,ADJ,obscene,
23592,edelmoedigheid,N,generosity,
23593,beginnersgeluk,N,beginner's luck,
23594,jaloersheid,N,jealousy,
23595,woongroep,N,living group,de
23596,spoorzoeker,N,tracker,werkwoord
23597,walkietalkie,N,walkie talkie,de
23598,parkeerruimte,N,parking space,
23599,hosanna,N,hosanna,het
23600,tijdvak,N,period,
23601,asielaanvraag,N,asylum application,
23602,uitbroeden,WW,hatch,
23603,telemarketing,N,telemarketing,werkwoord
23604,sleutelfiguur,N,key figure,de
23605,samenzweren,WW,conspire,
23606,stalletje,N,stall,werkwoord
23607,nazaat,N,descendant,de
23608,vossenjacht,N,fox hunting,de
23609,gedenksteen,N,memorial stone,
23610,bombarie,N,fanfare,de
23611,betitelen,WW,title,
23612,huisbazin,N,landlady,de
23613,bekampen,WW,fight,
23614,priorij,N,priory,de
23615,wendbaar,ADJ,Viable,
23616,onconventioneel,ADJ,unconventional,
23617,kinderrechter,N,juvenile judge,de
23618,leefwijze,N,lifestyle,
23619,klamboe,N,mosquito net,de
23620,burggraaf,N,viscount,
23621,vrijgezellenavond,N,hen night,de
23622,woonwagenkamp,N,caravan camp,het
23623,zangcarrière,N,singing career,
23624,averij,N,damage,de
23625,schermutseling,N,skirmish,werkwoord
23626,zwendelaar,N,swindler,
23627,lobbyist,N,lobbyist,de
23628,politiecontrole,N,police check,
23629,doodsstrijd,N,agony,
23630,tikfout,N,typo,de
23631,aangroeien,WW,grow,
23632,amok,ADJ,amok,
23633,chiquer,ADJ,more chic,
23634,inschrijfgeld,N,registration fee,
23635,steekvlam,N,blowtorch,werkwoord
23636,hooglanden,N,Highlands,de
23637,lanterfanten,WW,lounging around,
23638,forenzen,WW,commuters,
23639,lynchpartij,N,lynching,
23640,brandhaard,N,seat of the fire,
23641,kloek,ADJ,brave,
23642,geestestoestand,N,state of mind,
23643,strijkstok,N,bow,de
23644,eretitel,N,honorific,de
23645,zogen,WW,suckle,
23646,vliegbrevet,N,pilot's license,
23647,oeroud,ADJ,ancient,
23648,doodsvonnis,N,death sentence,
23649,vesper,N,vesper,de
23650,ceder,N,cedar,de
23651,vetpot,N,fat pot,bijvoeglijk
23652,tv-stations,N,TV stations,
23653,broeien,WW,scalding,
23654,biotechnologie,N,biotechnology,
23655,bouwstijl,N,architectural style,
23656,schuldenaar,N,debtor,de
23657,maandloon,N,monthly wages,het
23658,parabel,N,parable,de
23659,kapmes,N,machete,de
23660,keukenrol,N,kitchen paper,de
23661,voorbereidingstijd,N,preparation time,
23662,massahysterie,N,mass hysteria,de
23663,vozen,WW,vozen,
23664,teenager,N,teenager,de
23665,gendarmerie,N,gendarmerie,de
23666,meesterbrein,N,mastermind,het
23667,afslachting,N,massacre,werkwoord
23668,gedesillusioneerd,ADJ,disillusioned,
23669,chilisaus,N,chili sauce,de
23670,heruitgave,N,reissue,de
23671,tarotkaarten,N,tarot cards,de
23672,kerstspel,N,Christmas game,het
23673,linkerknie,N,left knee,
23674,antisemitisch,ADJ,anti-Semitic,
